@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
185,'2020/11/01 23:14:07:095',5,0.498333,0.675,0.53,0.65,0.565,0.645,0.583333,0.655,0.601667,0.655,0.618333,0.6725,0.626667,0.7175,0.615,0.71,0.598333,0.67,0.58,0.6675,0.56,0.6625,0.508333,0.68,0.626667,0.7175,0.61,0.7525,0.59,0.77,0.57,0.7725,0.55,0.765,0.52,0.7375,0.498333,0.675,0.508333,0.68,0.556667,0.7375,0.575,0.7425,0.595,0.7425,0.615,0.71,0.111087,0.36831,0.839951
186,'2020/11/01 23:14:07:194',5,0.498333,0.6675,0.528333,0.6475,0.563333,0.645,0.581667,0.655,0.601667,0.655,0.618333,0.6725,0.626667,0.71,0.616667,0.7075,0.598333,0.67,0.578333,0.6675,0.558333,0.66,0.506667,0.6725,0.626667,0.71,0.61,0.7525,0.588333,0.775,0.568333,0.7775,0.546667,0.7675,0.516667,0.7375,0.498333,0.6675,0.506667,0.6725,0.553333,0.7375,0.573333,0.7475,0.595,0.745,0.616667,0.7075,0.111087,0.36831,0.839951
187,'2020/11/01 23:14:07:296',5,0.498333,0.6675,0.528333,0.6475,0.563333,0.645,0.581667,0.655,0.601667,0.655,0.618333,0.6725,0.626667,0.71,0.616667,0.7075,0.598333,0.67,0.578333,0.6675,0.558333,0.66,0.506667,0.6725,0.626667,0.71,0.61,0.7525,0.588333,0.775,0.568333,0.7775,0.546667,0.7675,0.516667,0.7375,0.498333,0.6675,0.506667,0.6725,0.553333,0.7375,0.573333,0.7475,0.595,0.745,0.616667,0.7075,0.111087,0.36831,0.839951
188,'2020/11/01 23:14:07:396',5,0.498333,0.6675,0.528333,0.6475,0.563333,0.645,0.581667,0.655,0.601667,0.655,0.618333,0.6725,0.626667,0.71,0.616667,0.7075,0.598333,0.67,0.578333,0.6675,0.558333,0.66,0.506667,0.6725,0.626667,0.71,0.61,0.7525,0.588333,0.775,0.568333,0.7775,0.546667,0.7675,0.516667,0.7375,0.498333,0.6675,0.506667,0.6725,0.553333,0.7375,0.573333,0.7475,0.595,0.745,0.616667,0.7075,0.111087,0.36831,0.839951
189,'2020/11/01 23:14:07:495',5,0.498333,0.665,0.53,0.6425,0.561667,0.6425,0.581667,0.6525,0.601667,0.65,0.618333,0.6675,0.628333,0.705,0.618333,0.7025,0.598333,0.6675,0.578333,0.665,0.558333,0.6575,0.506667,0.67,0.628333,0.705,0.61,0.7425,0.59,0.76,0.568333,0.76,0.546667,0.75,0.518333,0.7225,0.498333,0.665,0.506667,0.67,0.555,0.7225,0.575,0.73,0.595,0.73,0.618333,0.7025,0.111087,0.36831,0.839951
190,'2020/11/01 23:14:07:596',5,0.498333,0.665,0.53,0.6425,0.561667,0.6425,0.581667,0.6525,0.601667,0.65,0.618333,0.6675,0.628333,0.705,0.618333,0.7025,0.598333,0.6675,0.578333,0.665,0.558333,0.6575,0.506667,0.67,0.628333,0.705,0.61,0.7425,0.59,0.76,0.568333,0.76,0.546667,0.75,0.518333,0.7225,0.498333,0.665,0.506667,0.67,0.555,0.7225,0.575,0.73,0.595,0.73,0.618333,0.7025,0.111087,0.36831,0.839951
191,'2020/11/01 23:14:07:695',5,0.498333,0.665,0.53,0.6425,0.561667,0.6425,0.581667,0.6525,0.601667,0.65,0.618333,0.6675,0.628333,0.705,0.618333,0.7025,0.598333,0.6675,0.578333,0.665,0.558333,0.6575,0.506667,0.67,0.628333,0.705,0.61,0.7425,0.59,0.76,0.568333,0.76,0.546667,0.75,0.518333,0.7225,0.498333,0.665,0.506667,0.67,0.555,0.7225,0.575,0.73,0.595,0.73,0.618333,0.7025,0.111087,0.36831,0.839951
192,'2020/11/01 23:14:07:795',5,0.498333,0.67,0.528333,0.645,0.56,0.6425,0.58,0.6525,0.598333,0.65,0.615,0.6675,0.621667,0.71,0.613333,0.705,0.595,0.6675,0.576667,0.665,0.556667,0.66,0.505,0.675,0.621667,0.71,0.606667,0.75,0.586667,0.77,0.566667,0.77,0.545,0.7625,0.516667,0.7325,0.498333,0.67,0.505,0.675,0.551667,0.7325,0.571667,0.74,0.591667,0.7375,0.613333,0.705,0.111087,0.36831,0.839951
193,'2020/11/01 23:14:16:794',6,0.251667,0.64,0.288333,0.6225,0.318333,0.61,0.341667,0.6125,0.361667,0.605,0.393333,0.605,0.433333,0.61,0.418333,0.615,0.363333,0.63,0.343333,0.635,0.32,0.6375,0.265,0.6425,0.433333,0.61,0.398333,0.6425,0.37,0.655,0.346667,0.6625,0.325,0.665,0.291667,0.665,0.251667,0.64,0.265,0.6425,0.321667,0.635,0.345,0.6325,0.365,0.6275,0.418333,0.615,0.637896,0.553406,0.055979
194,'2020/11/01 23:14:16:894',6,0.251667,0.64,0.288333,0.6225,0.318333,0.61,0.341667,0.6125,0.361667,0.605,0.393333,0.605,0.433333,0.61,0.418333,0.615,0.363333,0.63,0.343333,0.635,0.32,0.6375,0.265,0.6425,0.433333,0.61,0.398333,0.6425,0.37,0.655,0.346667,0.6625,0.325,0.665,0.291667,0.665,0.251667,0.64,0.265,0.6425,0.321667,0.635,0.345,0.6325,0.365,0.6275,0.418333,0.615,0.637896,0.553406,0.055979
